date,number_of_rides,number_of_riders,number_of_vehicles_used,median_ride_distance_meters,median_avg_speed,median_ride_duration,number_of_ready_vehicles
2019-02-07,834,624,327,831.6364504506964,8.104059936746904,6.525,NA
2019-02-08,1991,1516,784,775.9006516386738,7.309867353073879,6.966667,NA
2019-10-18,12798,9208,3643,1337.2682429385504,13.873433786428315,5.966667,6161
2020-12-03,7591,4544,2047,1136.1096538191273,11.82485387710349,6.15,2767
2019-11-14,7108,5129,3179,1247.3388904266133,13.906956220404432,5.5,6575
2020-07-26,10308,5644,2458,1375.0629367672723,10.746090634725011,8.283333,3903
2019-07-24,14058,9014,3134,892.5068869051686,7.795449489581239,7.616667,5370
2020-02-24,3699,2726,1466,1272.5223523454538,15.013483840772885,5.3,2219
2020-08-09,11790,6488,2456,1423.2091866714356,11.506690251603562,7.95,3096
2020-05-07,6180,4174,2164,1156.6138489185191,12.256781876771734,5.95,5398
2019-07-17,3621,2699,808,894.1848681372297,8.510701838206758,7.133333,5234
2020-12-24,2513,1586,1186,1006.3310863262736,10.568577466118342,6.1,2786
2020-12-04,7064,4245,1941,1101.6425812191549,11.48678651473439,6.233333,2788
2019-10-24,10764,7658,3420,1378.3810996447237,14.4187200410537,5.9,5693
2019-03-31,3620,2512,694,748.2242180545995,6.2340773537893135,7.766667,NA
2020-06-01,9726,6306,2375,1247.0247395847205,11.148477194920178,7.116667,3603
2020-06-24,11973,7571,2442,1404.9231130721532,12.072185408772384,7.4,4031
2020-04-17,4901,3490,1526,1134.1893615707904,12.047715915283057,6,2775
2018-12-06,3783,2797,770,723.163927837515,7.824637726615003,6.233333,NA
2019-09-12,13689,9868,3210,906.5003143132113,9.339838189833825,6.383333,5903
2019-05-19,7107,4985,1503,854.94002098,7.009642878700138,8.216667,NA
2019-05-15,8508,6139,1303,933.0412163758815,8.636446829918064,7.216667,NA
2020-07-25,15402,8000,2748,1338.8789177681633,10.150199665597963,8.383333,3849
2020-02-19,5336,3855,1636,1385.8955859317025,15.18422371302206,5.666667,2240
2020-11-28,6623,4005,2043,1012.2567120919531,11.073583178795754,5.966667,2844
2021-03-21,4934,2655,1727,1355.4122293970026,12.446094710189346,6.925,2897
2020-07-20,8442,4620,2277,1277.8061718339482,11.560006475969466,7.266667,3720
2020-11-07,8981,5101,2067,1175.7984555368464,11.44677490067559,6.516667,2821
2019-02-11,2928,2152,1160,795.100146527473,8.159855778531803,6.683333,NA
2020-12-10,7665,4626,1925,1152.213746624363,11.723636987519408,6.283333,2696
2018-10-20,2885,2010,531,0,0,11.5,NA
2020-05-14,5843,3957,1977,1128.6566967545862,12.122395136284155,5.916667,5452
2021-08-10,18009,9326,5044,1427.9123093681417,12.840634730424394,7.3,6923
2019-06-23,10273,6862,2410,896.7570761423597,7.244519527721411,8.516667,NA
2021-07-22,25373,11215,5171,1609.155606507883,12.118210772885462,8.6,6521
2019-11-22,9411,6938,3210,1288.3305447894527,14.034144224447688,5.7,6396
2020-01-29,4543,3432,1431,1340.0382995120353,14.742274920454536,5.616667,2476
2019-07-19,7078,5179,1255,915.3004007032174,7.811369857138468,7.766667,4157
2020-04-26,3631,2616,1530,1189.1372443789483,11.848188157537384,6.266667,3701
2020-11-09,8364,4575,2115,1171.1543157897597,12.180735437725838,6.116667,2827
2021-01-30,7,6,7,851.7922172498941,9.898572053113456,5.833333,2637
2020-07-11,9959,6119,2229,1274.5950813540085,11.109166342843473,7.333333,3941
2020-03-22,1086,851,523,1211.8009397166877,11.731762849915539,6.3,1402
2020-02-13,5277,3880,1580,1337.5847574267734,14.688011412085382,5.55,2219
2018-08-25,180,134,140,0,0,66.8583335,NA
2019-07-22,10449,6870,2459,871.164876551604,8.17157547683542,7.333333,4819
2019-02-22,3355,2494,829,771.4109613067435,8.275635920162886,6.316667,NA
2019-05-22,11287,7915,1641,858.5892249708697,6.876995356432707,8.216667,NA
2020-04-08,3241,2368,1344,1188.782290917992,12.056756576658705,6.2,3102
2020-04-23,5516,3819,1682,1225.2966380224002,12.104302907820982,6.35,3487
2020-10-21,11896,6780,2925,1229.1294130663193,12.045911748781906,6.466667,3725
2021-05-06,6198,3649,2355,1196.1688857119711,12.60153216573075,6.15,3872
2021-04-11,6225,3189,1960,1348.2835508535272,12.273783601544055,7.05,3064
2019-08-21,14583,10211,3188,928.6522192040541,8.985049974675325,6.8,5166
2019-06-03,8977,6372,1663,732.621448962922,6.958713252094691,7.1,NA
2020-03-05,4157,3165,1456,1164.3512519760595,12.885130968480553,5.55,2069
2021-04-14,9785,5310,2446,1346.5064487330396,13.017660810931899,6.733333,3121
2020-11-03,9746,5322,2304,1193.3163114859335,12.212972556862688,6.2916665,3082
